书名,作者,出版日期,出版社,原价,售价,折扣比例,排序,排行榜类型,推荐值,电子书价格,评论数
妈妈知道怎么办：一学就通的养育法 俞敏洪、马东、凯叔、王芳 强,王小骞,2020-04-22,湖南教育出版社,128.0,56.8,0.44000000000000006,106,2020年,100%,38.3,81011.0
爱上阅读的秘密：儿童分级阅读启蒙（大J小D新书。精装书+豪华手账,大J,2020-01-01,吉林出版集团股份有限公司,136.0,88.4,0.65,108,2020年,99.9%,89.0,63290.0
半小时漫画经济学：生活常识篇+金融危机篇（共2册）（用特别有趣,陈磊・半小时漫画团队,2019-10-15,海南出版社,101.9,70.3,0.6900000000000001,130,2020年,100%,31.7,99644.0
半小时漫画宋词（别光笑！有考点！漫画科普开创者二混子新作！全,陈磊・半小时漫画团队,2020-04-01,上海文艺出版社,54.9,27.4,0.5,137,2020年,100%,10.0,78162.0
语言表达第一课（全4册）,五味太郎,2020-04-01,贵州人民出版社,108.0,54.0,0.5,178,2020年,100%,52.9,74085.0
朝花夕拾(语文教材“名著导读”经典・七年级上。大语文理念打造：,鲁迅,2020-04-21,时代文艺出版社,26.0,10.1,0.39,182,2020年,100%,2.7,98224.0
世界博物馆奇妙之旅（全5册，为孩子打造的博物通识启蒙绘本，世界,徐晓燕,2019-08-01,浙江教育出版社,108.0,43.2,0.4,235,2020年,100%,23.1,97922.0
樊登讲论语：学而（樊登重磅新作！）,樊登,2020-11-01,北京联合出版有限公司,72.0,36.0,0.5,243,2020年,100%,72.0,25026.0
汤姆・索亚历险记（批判现实主义作家马克・吐温代表作之一，以自,马克・吐温,2018-12-01,安徽教育出版社,24.8,2.5,0.1,252,2020年,100%,4.2,97053.0
风声（经历过大孤独、大绝望的人，会懂得《风声》给你的大坚韧和,麦家,2020-10-31,上海文艺出版社,59.9,41.3,0.6900000000000001,264,2020年,100%,32.1,69590.0
小学生心理学漫画(全6册)6种心理能力，培养好性格，内心更强大。,小禾心理研究所,2019-12-09,江苏凤凰文艺出版社,196.8,98.4,0.5,273,2020年,100%,80.0,99817.0
列那狐的故事（本书补全了故事结局。小学语文“快乐读书吧”五年,M.H,2017-10-02,浙江工商大学出版社,19.0,7.4,0.39,275,2020年,100%,2.0,99552.0
桃李春风一杯酒：唐朝诗人的快意人生（附赠书签）,叶楚桥,2019-01-01,贵州人民出版社,50.0,37.5,0.75,288,2020年,99.9%,35.5,73458.0
撒野3完结篇（下单抽送亲签明信片！随书附赠明信片3张、书签1张、,巫哲,2020-04-03,江苏凤凰文艺出版社,49.8,35.8,0.72,289,2020年,100%,40.8,54602.0
湘行散记：沈从文散文精粹（沈从文代表作）,沈从文,2019-04-01,中国友谊出版公司,32.0,13.4,0.42000000000000004,296,2020年,100%,4.2,71410.0
小鹿斑比（迪士尼同名电影原作，一代代孩童的童年熟知的经典故事,费利克斯・萨尔登,2018-12-01,安徽教育出版社,19.8,3.8,0.19,297,2020年,100%,5.0,99144.0
老爸评测：你的健康呵护指南,老爸评测,2020-09-01,江苏凤凰文艺出版社,49.8,22.4,0.45,316,2020年,100%,40.0,75366.0
哈克贝利・费恩历险记（汤姆・索亚历险记续写故事，儿童冒险经典,马克・吐温,2017-08-01,浙江工商大学出版社,29.0,11.3,0.39,321,2020年,100%,4.6,79778.0
一玩就会的逻辑思维游戏（全8册+游戏操作板1套。歪歪兔出品）,歪歪兔关键期早教项目组,2020-03-10,海豚出版社,128.0,37.1,0.29,324,2020年,100%,27.3,52093.0
汪曾祺散文集：人间知味（收录《人间草木》等经典散文）,汪曾祺,2018-02-05,时代文艺出版社,38.0,15.2,0.4,345,2020年,100%,3.0,95838.0
稻草人 格林童话 安徒生童话三年级上册配套课外阅读套装共3册中小,安徒生,2012-07-01,时代文艺出版社,45.4,20.4,0.45,353,2020年,100%,18.5,78352.0
作家榜名著：一间自己的房间全译本（写给聪明女生的幸福指南！让,维吉尼亚・伍尔夫,2019-11-15,中信出版社,45.0,20.2,0.45,365,2020年,100%,6.0,86143.0
刀锋（毛姆经典哲思之作，苏州大学方华文教授全新修订&详细注释本,毛姆,2018-05-14,时代文艺出版社,38.0,15.2,0.4,390,2020年,99.9%,2.0,88531.0
秦俑两千年（关于秦俑的一切想象、现实与未知！揭秘中华民族更趋,爱德华,2020-05-01,百花洲文艺出版社,88.0,63.3,0.72,396,2020年,100%,47.5,55603.0
苏世民：我的经验与教训（一本书读懂苏世民的投资人生，复制黑石,苏世民,2020-03-01,中信出版社,98.0,49.0,0.5,397,2020年,100%,21.7,98748.0
小灵通漫游未来（收录《小灵通再游未来》《小灵通三游未来》，张,叶永烈,2019-01-01,中译出版社（原中国对外翻译出版公司）,32.8,17.4,0.53,398,2020年,100%,26.2,51885.0
此时不必问去哪里（暌违五年，独木舟2020长篇力作。我们每个人的,独木舟,2020-09-01,山东文艺出版社,48.0,32.0,0.67,408,2020年,100%,41.3,62571.0
神奇的数学（礼品装，包含11本纸板书和11本练习册）,天才教育,2018-04-01,江苏凤凰教育出版社,798.0,281.7,0.35,411,2020年,99.9%,325.2,73410.0
冬之旅：万方剧本精选集（肖战推荐，曹禺诞辰110周年推荐）,万方,2017-02-01,北京十月文艺出版社,29.8,22.35,0.75,413,2020年,100%,6.5,56208.0
因为这是你的人生（蔡康永19年新作）,蔡康永,2019-12-01,湖南文艺出版社,46.8,23.4,0.5,421,2020年,100%,29.5,84809.0
娜娜（左拉代表作之一，翻译家罗国林依据法语原著直译版）,左拉,2017-08-01,西安交通大学出版社,36.0,5.0,0.13999999999999999,428,2020年,99.9%,3.0,63246.0
想点大事：法律是种思维方式（一本写给每个人的法律通识书，得到,刘晗,2020-05-01,上海交通大学出版社,69.0,34.5,0.5,429,2020年,100%,62.6,42158.0
呼吸（每个“科幻”书单都有特德?姜！9个短篇9集《黑镜》，融科幻,特德・姜,2019-12-01,译林出版社,42.0,23.1,0.55,430,2020年,100%,16.4,76156.0
《DK儿童情绪管理 我不生气 冷静是种超能力》,英国DK公司,2019-06-01,天津科学技术出版社,68.0,47.6,0.7,431,2020年,100%,54.4,46324.0
笑猫日记26-幸运女神的宠儿,杨红樱,2019-12-01,明天出版社,20.0,10.0,0.5,442,2020年,100%,10.9,80627.0
